class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.remoting.utils.UrlUtils	class	3	13	10	3	18	1	0	22	21	1	0	0	7	7	7	0	0	0	7	0
org.apache.dubbo.remoting.transport.netty.TelnetClientHandler	class	2	3	1	2	2	1	0	0	1	0	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigAliasPostProcessor	class	6	7	1	6	8	1	0	5	4	0.75	0.16666667	0.16666667	4	0	4	0	0	0	4	0
org.apache.dubbo.rpc.protocol.rest.annotation.BaseParseContext	class	2	11	9	2	5	1	2	2	6	0.6	0.2	0.2	5	0	5	0	0	0	5	0
org.apache.dubbo.rpc.cluster.configurator.parser.model.ParamMatch	class	2	4	2	2	8	1	0	2	0	0.33333334	0.73333335	1	6	0	6	0	0	0	6	0
org.apache.dubbo.config.bootstrap.builders.AbstractInterfaceBuilder	class	11	17	6	11	51	3	0	28	259	0.91208774	0.101538464	1	26	0	26	0	0	0	26	0
org.apache.dubbo.config.spring.boot.configprops.SpringBootMultipleConfigPropsTest	class	22	23	1	22	3	1	0	39	1	0.33333334	0	0	3	2	2	0	0	1	3	0
org.apache.dubbo.qos.command.GreetingCommand	class	3	3	0	3	2	1	0	1	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.config.integration.single.exportmetadata.SingleRegistryCenterExportMetadataIntegrationTest	class	21	22	1	21	5	1	0	41	0	0.5714286	0.33333334	0.33333334	5	0	3	2	0	0	3	0
org.apache.dubbo.config.spring.reference.javaconfig.JavaConfigReferenceBeanTest	class	24	25	1	24	29	1	0	31	120	0	0	0	16	0	3	1	0	12	15	0
org.apache.dubbo.qos.command.impl.GetConfigTest	class	20	20	0	20	3	1	0	22	3	0	0	0	3	0	0	0	0	3	3	0
org.apache.dubbo.common.extension.adaptive.impl.HasAdaptiveExtImpl1	class	2	2	0	2	1	1	0	2	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metadata.rest.AbstractNoAnnotatedParameterProcessor	class	7	11	4	7	12	1	3	22	6	0	0	0	4	0	1	1	2	0	3	0
org.apache.dubbo.remoting.transport.netty4.NettyPortUnificationTransporter	class	7	7	0	7	2	1	0	4	1	0.5	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.monitor.support.MetricsServiceDetector	class	2	2	0	2	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metrics.MetricsScopeModelInitializer	class	6	6	0	6	3	1	0	2	3	0	0	0	3	0	3	0	0	0	3	0
org.apache.dubbo.config.integration.single.injvm.SingleRegistryCenterInjvmIntegrationTest	class	22	23	1	22	6	1	0	41	1	0.61904764	0.33333334	0.33333334	6	0	3	3	0	0	3	0
org.apache.dubbo.metrics.metrics.model.sample.GaugeMetricSampleTest	class	5	5	0	5	2	1	0	9	0	0	1	1	2	1	1	0	0	1	2	0
org.apache.dubbo.common.serialize.hessian2.Hessian2ObjectOutput	class	5	6	1	5	17	1	0	17	0	0	1	1	16	0	16	0	0	0	16	0
org.apache.dubbo.registry.RegistryScopeModelInitializer	class	7	7	0	7	3	1	0	2	3	0	0	0	3	0	3	0	0	0	3	0
org.apache.dubbo.config.utils.MockReferenceConfig	class	2	3	1	2	8	2	0	5	5	0.61111116	0.33333334	0.46666667	6	1	6	0	0	0	6	0
org.apache.dubbo.monitor.support.AbstractMonitorFactory	class	7	10	3	7	8	1	1	17	1	0.6	0.33333334	0.33333334	3	1	2	0	1	0	3	1
org.apache.dubbo.config.nested.SamplingConfig	class	0	1	1	0	2	1	0	0	0	0	1	1	2	0	2	0	0	0	2	0
org.apache.dubbo.remoting.transport.netty.Hello	class	0	2	2	0	4	1	0	0	0	0.625	0.5	0.5	4	0	4	0	0	0	4	0
org.apache.dubbo.configcenter.support.nacos.MockConfigService	class	3	4	1	3	12	1	0	0	66	0	0	0	12	0	12	0	0	0	12	0
org.apache.dubbo.rpc.cluster.support.BroadcastClusterInvoker	class	13	16	3	13	19	2	0	31	3	0.6666667	0	0	3	0	2	1	0	0	2	0
org.apache.dubbo.registry.integration.RegistryProtocolTest	class	23	23	0	23	14	1	0	54	28	0	0	0	8	0	1	0	0	7	8	0
